"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pard3",8.29467343448141e-19,0.764753419376653,0.257,0.164,1.59166488534264e-14
"Rpl7",8.29990771752982e-19,0.292735721318835,0.851,0.789,1.5926692919168e-14
"Sec63",9.35381639840423e-19,0.708706245892791,0.295,0.198,1.79490382868979e-14
"Jun",1.63875390725212e-18,0.751931955733614,0.593,0.497,3.14460487262609e-14
"Romo1",1.67846903580166e-18,0.602910203830605,0.355,0.253,3.22081423279981e-14
"Aldh2",3.72070663070321e-18,0.450004897365495,0.34,0.233,7.1396639536564e-14
"Tm9sf3",4.65949114526939e-18,0.577604674722877,0.368,0.27,8.94109755865743e-14
"Hspa8",1.07770358291239e-17,0.450205768756784,0.543,0.446,2.06800540525058e-13
"Clstn1",1.61962738990464e-17,0.665989341221297,0.31,0.215,3.10790299848802e-13
"Ell2",1.78347650228259e-17,0.755946749671323,0.255,0.167,3.42231306023007e-13
"Mbnl2",1.86204058021029e-17,0.49057629082851,0.561,0.474,3.57306966936552e-13
"mt-Rnr2",3.39982218453427e-17,0.981208646794597,0.916,0.942,6.52391878990281e-13
"Rbm39",5.24470629335435e-17,0.493989473205911,0.426,0.321,1.00640669063177e-12
"Ndufb2",5.96031814361415e-17,0.394341261858618,0.461,0.359,1.14372544857812e-12
"Nfia",6.2377338836398e-17,0.588271797936734,0.392,0.295,1.19695875493164e-12
"Uqcrh",9.68592480945954e-17,0.293169889935108,0.698,0.623,1.85863211168719e-12
"Gde1",1.31457898626968e-16,0.460170171388739,0.42,0.317,2.52254561675289e-12
"Nars1",1.33931285412864e-16,0.702392792353586,0.256,0.17,2.57000743578745e-12
"Ddx5",2.47673769169038e-16,0.648539499543794,0.466,0.38,4.75261195658467e-12
"Zcchc7",2.51091235184279e-16,0.834368978581145,0.266,0.182,4.81818971195112e-12
"Krtcap2",2.9816915904271e-16,0.261957933086718,0.804,0.744,5.72156799287056e-12
"Shroom3",4.55162983548309e-16,0.734274691152259,0.293,0.206,8.7341224913085e-12
"Nol7",8.55229365959364e-16,0.667402416152995,0.269,0.183,1.64109963033942e-11
"Ubxn4",9.32961392758555e-16,0.620773843360902,0.31,0.219,1.79025961656439e-11
"Atp5po",1.46287086193631e-15,0.454773282053032,0.429,0.335,2.80710289696959e-11
"Sntb1",1.58455225638425e-15,0.617326181604805,0.376,0.29,3.04059732477574e-11
"ND4",2.19603367565248e-15,0.616871848487134,0.912,0.939,4.21396902020955e-11
"Cox7b",7.0755553193078e-15,0.34300710879065,0.586,0.498,1.35772831022197e-10
"Ndufa6",1.36199592521344e-14,0.374524398474816,0.435,0.338,2.61353398089207e-10
"Pip5k1b",1.36992326207947e-14,0.667862490808698,0.276,0.194,2.6287457476043e-10
"Hspa5",1.45627873591077e-14,0.325063090657244,0.697,0.622,2.79445326633918e-10
"Elf5",1.89492840953311e-14,0.589037599699722,0.307,0.222,3.63617812505308e-10
"Srrm1",2.3427634631096e-14,0.611907666374807,0.267,0.186,4.495528809361e-10
"Nfib",2.82952504719392e-14,0.461102960122699,0.438,0.346,5.42957561306041e-10
"Ctsd",2.93285295930715e-14,0.402221164208256,0.401,0.305,5.62785154361448e-10
"Pabpn1",4.52186201739848e-14,0.546354686767642,0.303,0.217,8.67700102518594e-10
"Arhgap5",6.31036380703748e-14,0.683344291524814,0.294,0.214,1.21089571093242e-09
"Osbp",6.80387937202938e-14,0.611333386824197,0.272,0.19,1.30559641269872e-09
"Akap13",7.07579331721941e-14,0.623748086865107,0.306,0.224,1.35777397964123e-09
"Eef1g",8.13085351315087e-14,0.392940415357107,0.513,0.43,1.56022948063852e-09
"Chka",8.78175056409403e-14,0.621692017799737,0.281,0.201,1.685130115744e-09
"Cd24a",1.62919188205474e-13,0.445155320496508,0.474,0.401,3.12625630247484e-09
"Sorbs2",2.35506615466814e-13,0.658611733774783,0.314,0.232,4.5191364441927e-09
"Mgat4a",2.47403657967919e-13,0.47510173204035,0.457,0.378,4.74742879274641e-09
"Pitx1",2.70965583190943e-13,0.579211164588417,0.254,0.176,5.19955857585101e-09
"Nedd4",3.95873091686873e-13,0.612375272743097,0.337,0.26,7.59640875637941e-09
"Elob",5.86834232604808e-13,0.489659264245681,0.389,0.309,1.12607620894537e-08
"Dpyd",6.49985051707857e-13,0.711628320616966,0.264,0.189,1.24725631572221e-08
"Thrb",1.88688225114023e-12,0.618103106671952,0.265,0.191,3.62073835171299e-08
"Eef1b2",2.11150826510346e-12,0.25979267032514,0.692,0.624,4.05177320990703e-08
"Tax1bp1",2.98006276846022e-12,0.539157260046249,0.328,0.25,5.71844244639831e-08
"Pde4d",4.41671945049782e-12,0.515569285774005,0.393,0.317,8.47524295356026e-08
"Tmem234",5.25829807057052e-12,0.454878939525355,0.381,0.3,1.00901481676178e-07
"Rbm47",1.39128135440048e-11,0.492059154380825,0.505,0.438,2.66972979095909e-07
"Mydgf",1.7313596480797e-11,0.359414802007409,0.371,0.287,3.32230602870013e-07
"Gpcpd1",1.74561066347459e-11,0.500115958106195,0.326,0.25,3.34965230214139e-07
"Dtnb",2.71556012130764e-11,0.498772314675202,0.321,0.246,5.21088831677724e-07
"Vcp",2.7812827652194e-11,0.497942225445806,0.287,0.213,5.33700349817951e-07
"Sec31a",2.03781860985208e-10,0.494887033124164,0.317,0.245,3.91037013044516e-06
"Tacc2",2.63111905747286e-10,0.619166813009951,0.399,0.333,5.04885435938467e-06
"Meis2",2.76771389932808e-10,0.57055980858942,0.33,0.264,5.31096620142065e-06
"Sdc4",3.55273475632016e-10,0.587754476118974,0.272,0.206,6.81734272390275e-06
"Meis1",5.61963174209495e-10,0.476842179794682,0.409,0.342,1.0783511349906e-05
"ND4L",8.10785286110381e-10,0.414905824807061,0.902,0.835,1.55581588551721e-05
"Gmds",1.00889384535936e-09,0.571840894710885,0.26,0.197,1.93596639986008e-05
"Kif1b",1.40895936615953e-09,0.538938232399416,0.31,0.244,2.70365212772352e-05
"Chst9",1.49198778257882e-09,0.560794066779725,0.336,0.27,2.8629753559905e-05
"Cox7a2l",1.89485232608709e-09,0.45353339558849,0.332,0.266,3.63603212852851e-05
"Ergic1",2.05855209980364e-09,0.492256681259962,0.251,0.189,3.95015562431321e-05
"Rpn1",2.18953311382712e-09,0.413722265741172,0.289,0.221,4.20149509212287e-05
"Ndufb7",3.6763244161831e-09,0.352449558574839,0.356,0.284,7.05449892221374e-05
"Ndufv3",4.41359500640885e-09,0.383413711051514,0.373,0.307,8.46924745779794e-05
"Barx2",4.51704716086716e-09,0.43377598426321,0.279,0.214,8.66776179698799e-05
"Uqcr10",5.16062186480308e-09,0.285474994494722,0.502,0.443,9.90271729637063e-05
"Hectd1",5.25329121361697e-09,0.551469697985036,0.25,0.189,0.000100805405098096
"H2-K1",5.87131027485072e-09,0.464955788113965,0.323,0.258,0.000112664572864111
"Gbf1",6.64082557826316e-09,0.53132588518296,0.312,0.251,0.000127430802021292
"COX1",8.87865075156732e-09,0.51811608535402,0.91,0.949,0.000170372429271825
"Gpx1",9.11704486448461e-09,0.350402024003977,0.391,0.327,0.000174946973904595
"Nipal2",1.19635504242093e-08,0.46568004357888,0.256,0.194,0.000229568569090152
"Nktr",1.21180316317525e-08,0.435318585659692,0.435,0.379,0.000232532908981699
"Csnk1a1",1.38201904427863e-08,0.434460436043705,0.324,0.262,0.000265195634406627
"Ica1",1.59559767876899e-08,0.455278008573811,0.284,0.221,0.000306179238578982
"Tpi1",1.82678950398764e-08,0.296556802732615,0.393,0.323,0.000350542637920189
"Psme4",2.29125919518657e-08,0.431988215169463,0.254,0.194,0.000439669726964351
"Lman1",2.57644442941184e-08,0.342733158164,0.449,0.393,0.000494393921559837
"Rab2a",2.63128881583691e-08,0.332650111525468,0.487,0.428,0.000504918010870945
"Oxr1",6.18047924051938e-08,0.582286875719281,0.263,0.208,0.00118597216146326
"Dbi",1.01718489936342e-07,0.316015933900696,0.465,0.409,0.00195187610338847
"Stard10",1.41066711010231e-07,0.385269763087814,0.286,0.227,0.00270692911757533
"Magi3",1.45893112467795e-07,0.424352815935029,0.271,0.214,0.00279954293514452
"Fndc3a",2.66941254877167e-07,0.394716360117015,0.351,0.295,0.00512233573983796
"Arfgap3",2.73010858243892e-07,0.383051088191521,0.321,0.265,0.00523880535884205
"Azin1",3.07434747215428e-07,0.396097838823764,0.333,0.277,0.00589936536431685
"Ndufa5",4.03873712692793e-07,0.266450265676718,0.305,0.245,0.007749932672862
"Rab1a",4.24107382772331e-07,0.377526125919857,0.308,0.25,0.00813819656801826
"Ivns1abp",6.08250884647952e-07,0.430132768733763,0.324,0.269,0.0116717262255095
"Cd164",9.60185128165e-07,0.351915448367232,0.301,0.247,0.0184249924243582
"Cmas",1.34331958646538e-06,0.371475714072816,0.286,0.232,0.0257769595446841
"Uqcc2",1.41307860771344e-06,0.361097296435896,0.252,0.198,0.0271155654034132
"Atp2a2",1.89289462095685e-06,0.386840585658519,0.388,0.335,0.0363227548815409
"Rpn2",2.00455637513887e-06,0.285071363444931,0.314,0.258,0.0384654322825399
