"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Etfa6",0.000841911995783334,0.273433513576068,0.25,0.182,1,"27","Etfa"
"Cd2ap10",0.00109932042602383,0.319905992996493,0.257,0.192,1,"27","Cd2ap"
"Duox2",0,9.75461842798083,0.903,0.003,0,"28","Duox2"
"Cat5",0,5.47356546486824,0.987,0.116,0,"28","Cat"
"Duoxa2",0,10.5705546223671,0.844,0.002,0,"28","Duoxa2"
"Ces1d5",0,4.16464906819144,0.859,0.107,0,"28","Ces1d"
"Cyp2f25",0,3.35649050006988,0.977,0.232,0,"28","Cyp2f2"
"Gstm15",0,3.94237318241794,0.833,0.104,0,"28","Gstm1"
"Krt711",0,3.04892649051744,0.962,0.242,0,"28","Krt7"
"Cxcl176",0,2.7905066433788,0.897,0.195,0,"28","Cxcl17"
"Ly6a7",0,3.463785414005,0.856,0.154,0,"28","Ly6a"
"Hsd11b11",0,5.39811235790963,0.731,0.031,0,"28","Hsd11b1"
"Lgals33",0,3.58966608711811,0.777,0.103,0,"28","Lgals3"
"Wnt46",0,3.06412419323273,0.821,0.159,0,"28","Wnt4"
"Runx16",0,3.00958701890419,0.764,0.117,0,"28","Runx1"
"Klk1b163",0,1.82038482384574,0.751,0.105,0,"28","Klk1b16"
"Pgrmc15",0,3.49827106410719,0.751,0.111,0,"28","Pgrmc1"
"Sox5",0,4.91571863393108,0.664,0.035,0,"28","Sox5"
"Tst2",0,3.5873735948209,0.69,0.08,0,"28","Tst"
"Pmepa11",0,4.57531663211019,0.636,0.036,0,"28","Pmepa1"
"Nadk",0,4.14270251985223,0.649,0.054,0,"28","Nadk"
"Pdlim13",0,3.3537360442154,0.677,0.084,0,"28","Pdlim1"
"Sord",0,5.39927018342053,0.6,0.017,0,"28","Sord"
"Hif1a5",0,3.63536551739632,0.674,0.096,0,"28","Hif1a"
"Kcnj162",0,4.02472880189396,0.61,0.051,0,"28","Kcnj16"
"Csad",0,3.72233232398993,0.597,0.069,0,"28","Csad"
"Anxa32",0,3.46940887023623,0.592,0.065,0,"28","Anxa3"
"Sytl53",0,3.47852007906052,0.597,0.077,0,"28","Sytl5"
"Emb1",0,3.72270789329343,0.564,0.049,0,"28","Emb"
"Ikzf31",0,3.79204709736734,0.505,0.045,0,"28","Ikzf3"
"Egln3",0,3.38540421644862,0.49,0.053,0,"28","Egln3"
"Kcnj15",0,4.01085625470924,0.462,0.033,0,"28","Kcnj15"
"Slc4a4",0,5.08083107461304,0.454,0.028,0,"28","Slc4a4"
"Pllp",0,3.42148530907688,0.441,0.043,0,"28","Pllp"
"Alox12",0,3.60544017679649,0.431,0.039,0,"28","Alox12"
"Krt19",0,5.62877873301365,0.403,0.013,0,"28","Krt19"
"F5",0,7.90008818382125,0.377,0.002,0,"28","F5"
