"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Klf12",5.89784787644994e-82,1.42730220484877,0.32,0.192,1.12466061156024e-77,"0","Klf12"
"Mlph",6.90646139398352e-82,1.4280166403974,0.349,0.224,1.31699312321872e-77,"0","Mlph"
"Rere",1.91034442555041e-81,1.51134720995973,0.318,0.194,3.64283578508207e-77,"0","Rere"
"Slc23a2",2.19341946502863e-81,1.48229958429575,0.354,0.23,4.18263157786309e-77,"0","Slc23a2"
"Agap1",3.19534653340573e-81,1.46924583232815,0.327,0.202,6.09320630455139e-77,"0","Agap1"
"Ccnl2",4.91215784574914e-81,1.67900481206305,0.252,0.132,9.36699379605904e-77,"0","Ccnl2"
"Nedd4",6.38433960536943e-81,1.29810000817566,0.396,0.277,1.2174297193479e-76,"0","Nedd4"
"Prkn",2.82333797570643e-79,1.64108720072248,0.263,0.142,5.38382318587458e-75,"0","Prkn"
"Rbm26",3.1245083182562e-79,1.57015798824767,0.284,0.162,5.95812491208274e-75,"0","Rbm26"
"Kmt2c",3.77742597123045e-79,1.46001701276553,0.301,0.176,7.20317358453935e-75,"0","Kmt2c"
"Kcnq1ot1",7.69375966285129e-79,1.46687941331568,0.309,0.183,1.46712303010911e-74,"0","Kcnq1ot1"
"Wnk2",1.51052786068002e-78,1.49469767272301,0.292,0.169,2.88042557753074e-74,"0","Wnk2"
"Nsd1",5.76262977870519e-78,1.6092745363278,0.255,0.136,1.09887587250129e-73,"0","Nsd1"
"Ptprt",9.03123986310064e-78,1.5139975875231,0.333,0.211,1.72216712949466e-73,"0","Ptprt"
"Tcn21",1.42976046860131e-77,0.490659716349791,0.832,0.645,2.72641023757584e-73,"0","Tcn2"
"Tns3",3.46745664475508e-77,1.4733415854584,0.333,0.212,6.61209307588346e-73,"0","Tns3"
"Pam",9.02929539852258e-76,1.15758596519364,0.448,0.333,1.72179633954427e-71,"0","Pam"
"Birc6",1.29495113210629e-75,1.45437780520775,0.285,0.164,2.46934231381349e-71,"0","Birc6"
"Gigyf2",1.43378160173113e-75,1.55521465877864,0.271,0.154,2.7340781363411e-71,"0","Gigyf2"
"Mtus1",5.02759668997258e-75,1.40061552597648,0.339,0.219,9.58712412810872e-71,"0","Mtus1"
"Cadps2",9.03922848873526e-75,1.44238022745574,0.314,0.195,1.72369048051693e-70,"0","Cadps2"
"Kcnn41",1.82401405429933e-74,0.429852260761707,0.924,0.789,3.47821240014339e-70,"0","Kcnn4"
"Setbp11",3.84150259536351e-74,1.43735021190483,0.3,0.181,7.32536129909867e-70,"0","Setbp1"
"Fbxl17",4.27746192962223e-74,1.50735017110578,0.286,0.168,8.15669215359662e-70,"0","Fbxl17"
"Tbc1d8",4.20044226666057e-73,1.55778784403765,0.266,0.151,8.00982335829503e-69,"0","Tbc1d8"
"Chd9",4.20092449688456e-73,1.56950818388756,0.25,0.135,8.01074292310916e-69,"0","Chd9"
"Ehf1",4.46107645734175e-73,1.0030688474492,0.499,0.38,8.50682669650498e-69,"0","Ehf"
"Atp2a21",9.10349976332297e-73,0.813146877956997,0.495,0.361,1.73594636986806e-68,"0","Atp2a2"
"Pabpn1",2.89151229898024e-72,1.35481036521042,0.37,0.261,5.51382480292543e-68,"0","Pabpn1"
"Meis21",3.59145251388886e-72,1.30069909871582,0.398,0.286,6.84854079873467e-68,"0","Meis2"
"Cped1",8.0325132185178e-72,1.58769860479247,0.254,0.14,1.53171994563916e-67,"0","Cped1"
"Tpd521",1.29202473569064e-71,0.713798323593799,0.667,0.536,2.46376196848847e-67,"0","Tpd52"
"Pard3",2.942160063249e-70,1.40592080827992,0.306,0.189,5.61040502460953e-66,"0","Pard3"
"Sec31a",4.12850645051177e-70,1.27167905001818,0.365,0.25,7.8726489504809e-66,"0","Sec31a"
"Fndc3a1",4.62214961517894e-70,1.11743794105363,0.425,0.314,8.81397710118473e-66,"0","Fndc3a"
"Phlpp11",4.7955928930465e-70,1.33106424142495,0.311,0.195,9.14471608775037e-66,"0","Phlpp1"
"Gbf1",1.63540665742751e-69,1.2607212319666,0.366,0.252,3.11855695504853e-65,"0","Gbf1"
"Utrn",3.53370094816098e-69,1.43774263074591,0.272,0.158,6.73841433804817e-65,"0","Utrn"
"Tbc1d4",1.77772902371555e-68,1.43598597464305,0.293,0.179,3.38995147532318e-64,"0","Tbc1d4"
"Gnaq",2.89342041053198e-68,1.41294994620017,0.304,0.191,5.51746338084344e-64,"0","Gnaq"
"Nsd31",5.67019883912116e-68,1.34720223691448,0.354,0.245,1.08125021663201e-63,"0","Nsd3"
"Atp1b11",1.21922725173711e-67,0.522065526651717,0.853,0.692,2.3249444463375e-63,"0","Atp1b1"
"Atrx",1.4052327528289e-67,1.35421725408989,0.311,0.198,2.67963833636943e-63,"0","Atrx"
"Magi31",7.43848627872477e-67,1.30239692835989,0.345,0.233,1.41844494849003e-62,"0","Magi3"
"Galnt10",9.88034227974747e-67,1.48009100511552,0.274,0.164,1.88408246932505e-62,"0","Galnt10"
"Arhgap29",4.45068400372249e-65,1.37703689034997,0.306,0.195,8.48700932669841e-61,"0","Arhgap29"
"Dnm2",5.40502620947025e-65,1.40670413868377,0.283,0.173,1.03068444788388e-60,"0","Dnm2"
"Stard13",1.0387956551026e-64,1.43360766929887,0.272,0.162,1.98087943471515e-60,"0","Stard13"
"Ica1",4.08724786411607e-64,1.37119815034225,0.339,0.234,7.79397295208293e-60,"0","Ica1"
"Nucb2",4.60717748395581e-64,0.517479267163364,0.78,0.626,8.78542674415534e-60,"0","Nucb2"
"Phkb",1.48523102066592e-63,1.40022865588015,0.281,0.173,2.83218703330784e-59,"0","Phkb"
"Kif16b",3.02590569280995e-63,1.32529216683879,0.291,0.182,5.7700995656193e-59,"0","Kif16b"
"Ano1",3.08757094137531e-63,1.36132368827588,0.309,0.2,5.88768902810858e-59,"0","Ano1"
"Map3k11",6.73759653057591e-62,1.20757291960475,0.371,0.266,1.28479228241552e-57,"0","Map3k1"
"Foxn3",9.10389193137291e-62,1.36674515902706,0.272,0.165,1.7360211523935e-57,"0","Foxn3"
"Brwd11",1.03364239038276e-61,1.36532599439442,0.274,0.168,1.97105267422088e-57,"0","Brwd1"
"Kif1b1",1.49065203448992e-61,1.23752808243586,0.364,0.261,2.84252436456882e-57,"0","Kif1b"
"Cpeb41",7.02020205798544e-61,1.31341730298324,0.298,0.191,1.33868233043724e-56,"0","Cpeb4"
"Epha51",1.07907601419297e-60,1.3289778957521,0.302,0.195,2.05769005146458e-56,"0","Epha5"
"Rbm251",1.838457872806e-60,1.39515270878795,0.286,0.181,3.50575531765377e-56,"0","Rbm25"
"Nbas",2.98309131917278e-60,1.4173772274435,0.254,0.151,5.68845683653058e-56,"0","Nbas"
"Qsox11",1.05441202564106e-59,0.854451510812655,0.477,0.374,2.01065829169494e-55,"0","Qsox1"
"Srsf11",2.0452109596447e-59,1.38593395958748,0.276,0.173,3.90001277894647e-55,"0","Srsf11"
"Smim14",2.38067729078744e-59,0.556734948453219,0.833,0.709,4.53971352580257e-55,"0","Smim14"
"Myo5c",1.24161677350447e-58,1.41052728851471,0.263,0.16,2.36763902539568e-54,"0","Myo5c"
"Etv61",1.49924352218587e-57,1.2307792784694,0.354,0.254,2.85890747245624e-53,"0","Etv6"
"Sel1l1",2.25539865176145e-57,1.16198273228123,0.37,0.271,4.3008196890439e-53,"0","Sel1l"
"Tcf25",2.02378588549286e-56,1.05037416982962,0.423,0.332,3.85915730504633e-52,"0","Tcf25"
"Pip5k1b1",3.2756193726629e-56,1.27625262830799,0.334,0.234,6.24627858173088e-52,"0","Pip5k1b"
"Srsf51",5.27913971698058e-56,1.27405537991312,0.332,0.235,1.00667915263103e-51,"0","Srsf5"
"Hnrnpu1",5.67648104743704e-56,1.24623272027476,0.291,0.189,1.08244817093577e-51,"0","Hnrnpu"
"Hnrnpa2b12",1.13041339973304e-55,0.933962527574167,0.453,0.359,2.15558531195094e-51,"0","Hnrnpa2b1"
"Ripor2",1.6474058667278e-55,1.40769235924547,0.255,0.156,3.14143824726325e-51,"0","Ripor2"
"Map71",6.3130458462219e-55,1.37212366246338,0.264,0.165,1.20383471241605e-50,"0","Map7"
"Akap9",1.15617435330771e-54,1.18865526805859,0.366,0.273,2.20470887432248e-50,"0","Akap9"
"Etl4",1.30595287536575e-54,1.39055331303878,0.275,0.177,2.49032153803495e-50,"0","Etl4"
"Phlda11",1.14694475629756e-53,0.36720944932062,0.957,0.87,2.18710895578381e-49,"0","Phlda1"
